distrito_id,internet_hogar_pct,cobertura_movil_pct,minutos_puesto_salud,minutos_capital_provincia,instituciones_educativas,granularidad_servicio,anio_medicion
D00114,15.8,44.9,55.8,98.0,5,distrito-anio,2026
D00115,57.7,81.3,58.3,81.3,12,distrito-anio,2026
D00116,47.3,54.3,42.4,129.1,11,distrito-anio,2026
D00117,45.2,57.1,67.0,73.4,6,distrito-anio,2026
D00118,82.1,83.1,32.3,46.2,14,distrito-anio,2026
D00119,36.8,41.2,24.5,77.7,12,distrito-anio,2026
D00120,75.5,85.6,58.0,81.7,10,distrito-anio,2026
D00121,66.4,80.3,27.2,49.1,5,distrito-anio,2026
D00122,96.0,99.0,54.0,19.9,13,distrito-anio,2026
D00123,35.4,48.8,50.3,81.4,9,distrito-anio,2026
D00124,43.7,56.8,34.9,22.5,8,distrito-anio,2026
D00125,50.8,58.2,10.0,88.1,1,distrito-anio,2026
D00126,62.1,82.4,31.8,89.2,7,distrito-anio,2026
D00127,54.5,62.5,42.0,41.3,7,distrito-anio,2026
D00128,68.6,81.2,87.8,107.4,12,distrito-anio,2026
D00129,30.6,41.8,55.3,119.8,7,distrito-anio,2026
D00130,69.5,62.0,49.4,67.3,4,distrito-anio,2026
D00131,66.7,86.0,12.4,48.2,12,distrito-anio,2026
D00132,74.2,74.9,40.0,51.8,9,distrito-anio,2026
D00133,59.2,61.7,15.4,59.1,14,distrito-anio,2026
D00134,78.8,87.6,5.2,8.0,7,distrito-anio,2026
D00135,36.3,36.9,14.1,47.9,10,distrito-anio,2026
D00136,86.0,99.0,15.1,58.3,15,distrito-anio,2026
D00137,57.8,58.6,68.2,128.7,11,distrito-anio,2026
D00138,49.7,64.8,84.0,114.9,12,distrito-anio,2026
D00139,48.0,62.8,67.9,163.8,13,distrito-anio,2026
D00140,50.9,64.4,50.0,51.0,13,distrito-anio,2026
D00141,65.8,82.9,47.5,34.0,10,distrito-anio,2026
D00142,53.4,52.9,16.7,85.0,2,distrito-anio,2026
D00143,15.6,22.7,74.4,129.8,10,distrito-anio,2026
D00144,62.5,64.0,56.0,125.2,7,distrito-anio,2026
D00145,40.4,69.5,11.3,56.7,8,distrito-anio,2026
D00146,67.4,77.7,54.6,125.3,12,distrito-anio,2026
D00147,74.2,83.8,20.6,51.7,8,distrito-anio,2026
D00148,78.2,99.0,48.4,34.2,10,distrito-anio,2026
D00149,58.6,70.2,53.3,102.9,5,distrito-anio,2026
D00150,67.1,85.5,38.6,58.1,12,distrito-anio,2026
D00151,72.0,81.6,54.3,107.3,6,distrito-anio,2026
D00152,69.4,80.9,43.9,169.4,9,distrito-anio,2026
D00153,73.3,70.3,14.1,65.8,11,distrito-anio,2026
D00154,50.1,62.8,74.9,153.2,16,distrito-anio,2026
D00155,62.2,70.9,10.6,64.4,5,distrito-anio,2026
D00156,80.8,95.0,25.2,53.2,4,distrito-anio,2026
D00157,70.0,99.0,20.6,58.2,13,distrito-anio,2026
D00158,56.7,67.1,9.6,42.3,8,distrito-anio,2026
D00159,41.8,46.8,61.9,112.3,8,distrito-anio,2026
D00160,63.0,58.4,45.8,31.5,11,distrito-anio,2026
D00161,33.4,33.1,58.1,58.3,13,distrito-anio,2026
D00162,42.7,52.4,73.2,149.7,5,distrito-anio,2026
D00163,38.9,60.6,70.8,171.3,1,distrito-anio,2026
D00164,68.2,87.1,19.9,21.6,8,distrito-anio,2026
D00165,54.4,78.5,77.3,76.6,10,distrito-anio,2026
D00166,68.0,86.8,19.6,121.4,5,distrito-anio,2026
D00167,64.6,82.5,26.9,32.7,12,distrito-anio,2026
D00168,50.3,52.7,11.8,117.5,8,distrito-anio,2026
D00169,33.9,42.9,72.4,115.3,5,distrito-anio,2026
D00170,66.2,78.7,5.0,82.4,16,distrito-anio,2026
D00171,48.2,58.2,13.3,39.6,12,distrito-anio,2026
D00172,85.3,98.6,36.2,8.0,5,distrito-anio,2026
D00173,73.5,94.0,55.0,106.9,8,distrito-anio,2026
D00174,51.1,72.5,21.8,110.5,7,distrito-anio,2026
D00175,55.7,70.8,33.4,70.4,12,distrito-anio,2026
D00176,39.6,42.9,64.1,139.2,7,distrito-anio,2026
D00177,69.3,84.4,45.3,68.3,8,distrito-anio,2026
D00178,69.1,81.0,78.8,8.0,13,distrito-anio,2026
D00179,96.0,99.0,13.9,93.0,17,distrito-anio,2026
D00180,73.8,96.9,66.8,48.0,9,distrito-anio,2026
D00181,75.7,79.0,45.6,60.3,15,distrito-anio,2026
D00182,36.6,44.0,61.7,102.3,12,distrito-anio,2026
D00183,37.7,44.1,69.3,122.7,8,distrito-anio,2026
D00184,47.0,69.7,71.9,80.7,11,distrito-anio,2026
D00185,45.0,58.8,70.3,114.8,4,distrito-anio,2026
D00186,82.1,94.9,27.0,25.2,5,distrito-anio,2026
D00187,57.9,71.5,82.4,143.1,11,distrito-anio,2026
D00188,44.4,63.5,26.9,126.9,5,distrito-anio,2026
D00189,68.2,84.8,29.7,29.6,7,distrito-anio,2026
D00190,48.9,74.8,35.2,54.1,10,distrito-anio,2026
D00191,37.3,48.2,50.1,153.4,7,distrito-anio,2026
D00192,52.6,63.3,42.5,134.3,8,distrito-anio,2026
D00193,72.1,77.3,20.5,71.7,11,distrito-anio,2026
D00194,49.6,54.2,56.9,167.1,4,distrito-anio,2026
D00195,58.4,70.4,15.7,68.8,7,distrito-anio,2026
D00196,36.9,47.8,63.8,35.6,6,distrito-anio,2026
D00197,49.3,51.8,76.4,90.0,9,distrito-anio,2026
D00198,61.6,74.9,12.6,54.6,9,distrito-anio,2026
D00199,43.6,43.7,74.5,140.6,7,distrito-anio,2026
D00200,71.8,93.9,64.7,106.0,12,distrito-anio,2026
D00201,41.6,54.4,90.8,80.0,5,distrito-anio,2026
D00202,72.9,86.9,39.1,57.0,15,distrito-anio,2026
D00203,78.5,97.6,29.4,104.8,4,distrito-anio,2026
D00204,73.6,85.6,52.5,82.6,5,distrito-anio,2026
D00205,59.9,74.0,57.4,8.0,15,distrito-anio,2026
D00206,50.5,64.2,48.9,114.6,5,distrito-anio,2026
D00207,58.9,70.9,33.8,11.5,9,distrito-anio,2026
D00208,58.8,76.3,69.2,117.5,15,distrito-anio,2026
D00209,68.0,76.1,29.8,78.7,13,distrito-anio,2026
D00210,44.0,53.3,92.3,160.6,14,distrito-anio,2026
D00211,89.4,89.1,5.0,97.7,9,distrito-anio,2026
D00212,50.0,68.0,39.1,181.6,7,distrito-anio,2026
D00213,53.9,63.9,27.4,139.4,11,distrito-anio,2026
D00214,8.0,20.0,86.7,143.1,24,distrito-anio,2026
D00215,40.3,60.9,46.3,146.9,2,distrito-anio,2026
D00216,72.6,71.9,20.7,163.9,4,distrito-anio,2026
D00217,42.9,42.8,85.6,98.7,13,distrito-anio,2026
D00218,50.0,64.8,75.9,131.7,4,distrito-anio,2026
D00219,57.7,66.2,36.9,8.0,7,distrito-anio,2026
D00220,28.6,40.8,76.7,131.9,9,distrito-anio,2026
D00221,37.1,48.4,53.9,223.1,2,distrito-anio,2026
D00222,58.4,80.7,27.5,58.4,10,distrito-anio,2026
D00223,66.3,76.9,5.0,90.3,3,distrito-anio,2026
D00224,74.2,82.7,22.1,15.9,10,distrito-anio,2026
D00225,25.6,30.1,55.8,71.6,6,distrito-anio,2026
D00226,67.8,83.6,55.4,93.3,5,distrito-anio,2026
D00227,29.7,34.1,90.5,128.8,5,distrito-anio,2026
D00228,62.6,60.1,20.6,125.6,12,distrito-anio,2026
D00229,50.2,48.7,57.2,137.7,7,distrito-anio,2026
D00230,55.5,73.9,42.1,46.2,13,distrito-anio,2026
D00231,60.4,63.4,12.7,134.1,12,distrito-anio,2026
D00232,37.8,58.1,65.5,103.7,10,distrito-anio,2026
D00233,78.4,89.5,19.1,29.6,11,distrito-anio,2026
D00234,35.4,45.9,88.2,119.9,5,distrito-anio,2026
D00235,42.9,36.6,61.8,172.5,11,distrito-anio,2026
D00236,51.3,60.1,52.1,123.7,5,distrito-anio,2026
D00237,63.1,73.1,5.5,16.3,7,distrito-anio,2026
D00238,61.6,78.4,5.0,61.4,11,distrito-anio,2026
D00239,60.7,83.9,5.9,85.4,14,distrito-anio,2026
D00240,73.8,80.2,43.9,31.2,15,distrito-anio,2026
D00241,53.5,58.8,58.6,59.9,6,distrito-anio,2026
D00242,57.1,64.8,36.8,37.8,13,distrito-anio,2026
D00243,51.7,53.1,33.1,26.7,8,distrito-anio,2026
D00244,50.8,58.7,99.3,138.1,3,distrito-anio,2026
D00245,83.0,99.0,37.9,83.3,6,distrito-anio,2026
D00246,86.4,95.3,23.4,98.6,10,distrito-anio,2026
D00247,61.8,75.8,5.0,86.4,5,distrito-anio,2026
D00248,96.0,95.8,29.0,34.3,8,distrito-anio,2026
D00249,71.2,81.5,29.7,63.7,3,distrito-anio,2026
D00250,82.9,92.7,28.9,44.0,23,distrito-anio,2026
D00251,68.3,82.7,13.9,87.0,6,distrito-anio,2026
D00252,43.1,58.5,41.9,114.6,13,distrito-anio,2026
D00253,81.4,92.6,26.7,24.4,11,distrito-anio,2026
D00254,66.3,89.7,79.4,38.1,15,distrito-anio,2026
D00255,65.0,80.5,12.9,52.4,7,distrito-anio,2026
D00256,54.5,71.8,46.8,134.7,7,distrito-anio,2026
D00257,66.8,86.0,78.6,96.8,8,distrito-anio,2026
D00258,73.5,84.2,5.0,38.9,6,distrito-anio,2026
D00259,59.0,68.3,25.5,75.7,8,distrito-anio,2026
D00260,31.9,20.0,62.9,153.7,6,distrito-anio,2026
D00261,84.9,99.0,44.1,63.7,19,distrito-anio,2026
D00262,28.0,38.1,24.8,145.0,10,distrito-anio,2026
D00263,57.2,64.9,5.0,49.3,20,distrito-anio,2026
D00264,41.2,50.7,45.4,98.4,7,distrito-anio,2026
D00265,72.8,97.0,34.9,30.4,15,distrito-anio,2026
D00266,69.6,81.4,23.6,47.0,2,distrito-anio,2026
D00267,63.8,79.6,14.2,101.4,15,distrito-anio,2026
D00268,38.7,44.2,17.9,108.2,14,distrito-anio,2026
D00269,24.5,44.4,51.0,169.0,15,distrito-anio,2026
D00270,39.2,45.5,36.9,145.7,1,distrito-anio,2026
D00271,80.6,90.5,32.7,49.1,8,distrito-anio,2026
D00272,73.1,97.8,55.3,179.3,2,distrito-anio,2026
D00273,50.3,61.7,90.1,110.2,15,distrito-anio,2026
D00274,61.2,67.1,24.4,96.4,4,distrito-anio,2026
D00275,62.4,69.8,39.1,8.0,12,distrito-anio,2026
D00276,23.4,26.6,33.1,120.2,5,distrito-anio,2026
D00277,65.4,80.1,22.3,96.4,6,distrito-anio,2026
D00278,31.2,46.2,67.7,132.0,18,distrito-anio,2026
D00279,32.9,54.5,84.3,109.1,11,distrito-anio,2026
D00280,83.5,99.0,16.5,51.9,13,distrito-anio,2026
D00281,33.2,37.2,40.2,129.3,6,distrito-anio,2026
D00282,34.1,40.6,56.7,24.4,10,distrito-anio,2026
D00283,80.2,97.0,42.2,101.8,7,distrito-anio,2026
D00284,67.2,79.1,42.7,8.0,12,distrito-anio,2026
D00285,58.0,64.3,24.6,78.4,1,distrito-anio,2026
D00286,30.9,40.6,79.5,63.6,5,distrito-anio,2026
D00287,85.7,97.4,39.1,106.2,11,distrito-anio,2026
D00288,36.5,50.7,62.2,194.7,4,distrito-anio,2026
D00289,61.5,79.3,44.8,38.2,12,distrito-anio,2026
D00290,74.0,78.1,47.7,120.5,6,distrito-anio,2026
D00291,47.1,65.8,80.3,134.3,12,distrito-anio,2026
D00292,58.5,80.3,18.2,83.7,10,distrito-anio,2026
D00293,53.9,63.8,60.1,119.2,2,distrito-anio,2026
D00294,46.1,57.0,17.3,121.9,8,distrito-anio,2026
D00295,48.4,57.5,60.9,61.9,15,distrito-anio,2026
D00296,77.9,84.0,37.5,71.9,11,distrito-anio,2026
D00297,65.1,74.1,36.4,36.1,7,distrito-anio,2026
D00298,55.3,69.0,31.1,110.0,13,distrito-anio,2026
D00299,23.2,24.0,39.6,182.1,21,distrito-anio,2026
D00300,50.8,68.4,17.5,49.1,8,distrito-anio,2026
D00301,56.9,67.9,61.6,158.9,8,distrito-anio,2026
D00302,75.6,78.2,5.9,39.7,13,distrito-anio,2026
D00303,69.4,93.0,43.1,67.8,8,distrito-anio,2026
D00304,79.0,88.1,8.3,133.8,9,distrito-anio,2026
D00305,26.1,37.2,69.8,176.5,10,distrito-anio,2026
D00306,66.3,76.8,34.3,112.4,12,distrito-anio,2026
D00307,83.6,85.7,13.6,49.1,6,distrito-anio,2026
D00308,59.5,62.4,65.5,119.3,9,distrito-anio,2026
D00309,54.8,51.6,5.0,50.8,8,distrito-anio,2026
D00310,46.7,54.5,130.4,188.8,10,distrito-anio,2026
D00311,86.3,99.0,24.2,35.6,10,distrito-anio,2026
D00312,88.8,94.9,24.6,39.8,13,distrito-anio,2026
D00313,52.4,59.4,35.5,74.7,9,distrito-anio,2026
D00314,81.1,88.9,33.3,19.9,11,distrito-anio,2026
D00315,82.3,99.0,52.4,30.2,14,distrito-anio,2026
D00316,69.0,69.9,17.3,99.6,14,distrito-anio,2026
D00317,72.5,77.2,20.1,19.0,9,distrito-anio,2026
D00318,40.0,54.0,67.7,161.8,9,distrito-anio,2026
D00319,28.0,41.1,80.5,100.4,7,distrito-anio,2026
D00320,47.8,63.6,35.1,143.4,8,distrito-anio,2026
D00321,44.0,63.7,83.7,115.3,3,distrito-anio,2026
D00322,71.7,83.0,39.5,23.3,11,distrito-anio,2026
D00323,49.0,53.1,54.2,75.0,11,distrito-anio,2026
D00324,25.6,47.7,97.7,158.2,8,distrito-anio,2026
D00325,44.7,60.8,22.8,38.4,11,distrito-anio,2026
D00326,66.8,83.1,24.1,29.2,8,distrito-anio,2026
D00327,45.2,51.3,33.5,56.2,15,distrito-anio,2026
D00328,49.5,69.2,37.6,106.1,3,distrito-anio,2026
D00329,40.7,57.1,63.3,177.3,13,distrito-anio,2026
D00330,35.3,48.8,80.0,136.3,7,distrito-anio,2026
D00331,20.3,23.5,74.9,140.2,5,distrito-anio,2026
D00332,61.9,82.9,43.3,136.4,5,distrito-anio,2026
D00333,60.7,68.7,30.9,96.2,3,distrito-anio,2026
D00334,71.7,86.3,5.0,78.8,6,distrito-anio,2026
