departamento,distrito_sintetico,tipo_area_sintetica,electores_habiles_sintetico,participacion_ciudadana_pct_sintetica,votos_blancos_nulos_pct_sintetico
Junin,JUN-08,urbano,89765,77.75,17.68
Junin,JUN-09,urbano,130833,66.89,15.74
Junin,JUN-10,rural,61004,75.57,8.75
La Libertad,LA -01,urbano,134823,74.82,15.19
La Libertad,LA -02,urbano,59132,78.53,20.85
La Libertad,LA -03,urbano,65644,72.41,16.19
La Libertad,LA -04,mixto,100643,69.37,22.91
La Libertad,LA -05,urbano,70701,76.44,24.18
La Libertad,LA -06,mixto,13998,74.11,23.84
La Libertad,LA -07,mixto,120716,77.12,13.94
La Libertad,LA -08,urbano,15671,74.18,11.66
La Libertad,LA -09,urbano,75355,65.35,21.65
Lambayeque,LAM-01,urbano,105497,62.24,23.26
Lambayeque,LAM-02,mixto,103082,72.53,21.67
Lambayeque,LAM-03,rural,123961,76.19,14.71
Lambayeque,LAM-04,rural,117200,67.65,22.0
Lambayeque,LAM-05,rural,133471,78.84,21.81
Lambayeque,LAM-06,urbano,81671,76.1,17.51
Lambayeque,LAM-07,rural,54903,73.09,15.38
Lambayeque,LAM-08,rural,124566,80.75,14.62
Lambayeque,LAM-09,urbano,48966,71.86,15.96
Lambayeque,LAM-10,rural,37922,75.99,20.89
Lambayeque,LAM-11,urbano,61167,68.56,17.08
Lambayeque,LAM-12,urbano,116499,66.26,18.84
Lambayeque,LAM-13,mixto,109948,65.96,23.29
Lima,LIM-01,urbano,227685,73.45,19.24
Lima,LIM-02,rural,66264,78.6,20.97
Lima,LIM-03,urbano,371030,79.97,25.52
Lima,LIM-04,rural,138546,75.11,14.76
Lima,LIM-05,rural,4257,71.64,22.89
Lima,LIM-06,urbano,98780,73.08,16.0
Lima,LIM-07,urbano,305123,69.67,19.6
Lima,LIM-08,urbano,142800,77.84,15.59
Lima,LIM-09,rural,104213,79.63,24.99
Lima,LIM-10,mixto,75097,75.5,19.95
Lima,LIM-11,urbano,358396,85.82,15.79
Lima,LIM-12,mixto,129242,76.79,13.23
Lima,LIM-13,rural,49756,79.87,7.29
Lima,LIM-14,rural,81972,71.05,16.96
Lima,LIM-15,urbano,198646,68.7,21.26
Lima,LIM-16,rural,90740,69.75,16.98
Lima,LIM-17,rural,16018,70.53,27.74
Loreto,LOR-01,rural,86628,76.21,18.64
Loreto,LOR-02,urbano,122739,71.72,8.76
Loreto,LOR-03,rural,100175,72.12,18.75
Loreto,LOR-04,rural,48230,71.97,14.04
Loreto,LOR-05,urbano,116773,68.1,12.33
Loreto,LOR-06,mixto,62567,81.12,15.6
Loreto,LOR-07,urbano,115573,73.18,14.65
Loreto,LOR-08,urbano,86719,66.36,19.96
Loreto,LOR-09,rural,98343,74.75,11.56
Loreto,LOR-10,mixto,115957,74.45,21.04
Loreto,LOR-11,urbano,101070,65.78,12.19
Loreto,LOR-12,urbano,42809,72.84,23.24
Loreto,LOR-13,urbano,43082,72.46,17.35
Loreto,LOR-14,urbano,46526,68.56,21.96
Moquegua,MOQ-01,urbano,135361,62.27,18.62
Moquegua,MOQ-02,rural,61807,85.68,21.48
Moquegua,MOQ-03,urbano,138564,63.29,17.95
Moquegua,MOQ-04,rural,50998,75.67,21.96
Moquegua,MOQ-05,urbano,62156,72.83,21.3
Moquegua,MOQ-06,urbano,9876,77.12,19.1
Moquegua,MOQ-07,rural,25913,80.47,21.3
Moquegua,MOQ-08,urbano,88949,69.64,20.44
Moquegua,MOQ-09,rural,62647,80.86,17.27
Moquegua,MOQ-10,mixto,128782,65.74,12.3
Moquegua,MOQ-11,mixto,51727,80.52,19.88
Moquegua,MOQ-12,mixto,69121,67.26,18.38
Moquegua,MOQ-13,urbano,136876,77.62,19.59
Moquegua,MOQ-14,urbano,139290,73.93,11.69
Moquegua,MOQ-15,rural,24140,77.16,20.88
Moquegua,MOQ-16,rural,112613,82.75,11.09
Moquegua,MOQ-17,urbano,52770,71.25,24.0
Pasco,PAS-01,urbano,89651,65.81,14.2
Pasco,PAS-02,mixto,104852,70.0,15.59
Pasco,PAS-03,mixto,20694,71.0,17.14
Pasco,PAS-04,mixto,129260,67.81,16.79
Pasco,PAS-05,urbano,121186,70.62,27.62
Pasco,PAS-06,mixto,75737,81.79,13.96
Pasco,PAS-07,rural,55314,66.56,13.21
Pasco,PAS-08,rural,45623,71.2,22.23
Pasco,PAS-09,urbano,138175,72.57,11.31
Pasco,PAS-10,mixto,117086,72.31,21.57
Pasco,PAS-11,urbano,45535,81.53,17.95
Piura,PIU-01,mixto,77801,78.17,17.63
Piura,PIU-02,mixto,84975,75.25,22.47
Piura,PIU-03,rural,53420,75.5,21.06
Piura,PIU-04,urbano,86531,73.75,18.11
Piura,PIU-05,urbano,11671,73.58,24.74
Piura,PIU-06,urbano,52585,66.44,18.91
Piura,PIU-07,rural,46273,71.98,18.18
Piura,PIU-08,urbano,113686,72.21,18.22
Piura,PIU-09,urbano,84781,74.09,15.57
Piura,PIU-10,urbano,52719,78.88,16.4
Piura,PIU-11,urbano,115429,70.97,18.13
Piura,PIU-12,mixto,86846,65.21,13.07
Piura,PIU-13,urbano,64803,78.15,15.71
Piura,PIU-14,mixto,42409,71.19,18.46
Piura,PIU-15,rural,52891,76.02,12.64
Piura,PIU-16,urbano,104703,64.58,17.91
Piura,PIU-17,urbano,90265,68.81,13.4
Puno,PUN-01,mixto,60891,70.85,13.84
Puno,PUN-02,mixto,20611,76.4,14.5
Puno,PUN-03,rural,26261,85.06,20.71
Puno,PUN-04,urbano,130017,72.79,17.45
Puno,PUN-05,rural,10639,69.62,16.77
Puno,PUN-06,urbano,11184,80.02,23.76
Puno,PUN-07,rural,27047,83.51,12.54
Puno,PUN-08,mixto,30614,79.98,17.9
Puno,PUN-09,rural,114258,78.87,19.58
San Martin,SAN-01,mixto,5281,77.33,12.16
San Martin,SAN-02,urbano,108690,67.72,8.19
San Martin,SAN-03,rural,106143,86.4,25.53
San Martin,SAN-04,mixto,93618,76.9,14.9
San Martin,SAN-05,rural,6497,79.63,25.8
San Martin,SAN-06,mixto,120333,72.48,24.03
San Martin,SAN-07,urbano,115585,75.4,16.38
San Martin,SAN-08,mixto,84702,77.53,12.68
San Martin,SAN-09,mixto,50558,69.76,24.51
San Martin,SAN-10,rural,110145,71.08,24.98
San Martin,SAN-11,rural,108366,76.71,18.05
Tacna,TAC-01,mixto,119139,77.42,13.48
Tacna,TAC-02,urbano,137264,76.71,21.98
Tacna,TAC-03,rural,58616,72.98,18.97
Tacna,TAC-04,urbano,6624,73.52,17.07
Tacna,TAC-05,urbano,54022,75.21,22.25
Tacna,TAC-06,urbano,95750,75.37,15.26
Tacna,TAC-07,urbano,130043,71.23,15.73
Tacna,TAC-08,urbano,97478,74.99,18.04
Tacna,TAC-09,urbano,70477,71.96,18.46
Tacna,TAC-10,rural,65232,80.58,20.4
Tacna,TAC-11,urbano,62613,73.51,17.74
Tacna,TAC-12,rural,8588,67.24,17.87
Tacna,TAC-13,mixto,113288,75.45,19.49
Tacna,TAC-14,urbano,36419,67.6,13.69
Tacna,TAC-15,urbano,36503,70.96,11.81
Tacna,TAC-16,rural,43344,75.09,17.04
Tumbes,TUM-01,urbano,115943,66.78,20.16
Tumbes,TUM-02,urbano,119904,80.52,19.64
Tumbes,TUM-03,rural,23544,76.77,16.27
Tumbes,TUM-04,rural,55938,75.65,14.36
Tumbes,TUM-05,rural,138133,76.53,18.8
Tumbes,TUM-06,mixto,52067,72.55,16.95
Tumbes,TUM-07,rural,77707,65.18,21.98
Tumbes,TUM-08,urbano,58374,69.43,16.0
Tumbes,TUM-09,urbano,69500,63.23,16.46
Tumbes,TUM-10,urbano,31018,68.47,18.92
Tumbes,TUM-11,mixto,70143,71.17,17.48
Tumbes,TUM-12,rural,87798,80.43,13.31
Tumbes,TUM-13,urbano,128915,82.01,21.78
Ucayali,UCA-01,mixto,51590,69.32,14.99
Ucayali,UCA-02,mixto,82551,70.79,19.11
Ucayali,UCA-03,rural,114024,82.8,17.02
Ucayali,UCA-04,urbano,91093,74.76,9.58
Ucayali,UCA-05,rural,75699,76.22,16.89
Ucayali,UCA-06,rural,66580,80.42,21.3
Ucayali,UCA-07,urbano,125756,71.51,7.78
Ucayali,UCA-08,rural,117545,80.8,23.17
Ucayali,UCA-09,rural,56335,79.74,23.24
Ucayali,UCA-10,rural,108668,76.59,19.32
Ucayali,UCA-11,rural,94265,84.17,20.35
Ucayali,UCA-12,mixto,51687,68.79,18.68
Ucayali,UCA-13,urbano,117003,71.82,13.94
Ucayali,UCA-14,rural,82747,70.88,20.24
Ucayali,UCA-15,urbano,12981,63.02,20.41
Ucayali,UCA-16,urbano,136286,73.66,16.25
Ucayali,UCA-17,urbano,27175,68.1,13.12
