departamento,id_conflicto,tipo_conflicto,estado,en_dialogo,duracion_meses_sintetica,poblacion_afectada_sintetica,nota
Amazonas,CS-AMA-001,socioambiental-mineria,activo,si,1,6733,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Arequipa,CS-ARE-010,laboral,activo,no,24,3397,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-001,socioambiental-mineria,activo,si,29,8475,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-002,socioambiental-mineria,activo,si,2,4814,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-003,comunal,latente,no aplica,23,5098,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-004,electoral,activo,si,23,3711,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-005,socioambiental-hidrocarburos,activo,no,1,13169,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-006,socioambiental-hidrocarburos,activo,si,1,13411,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-007,otros,activo,no,1,4302,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-008,otros,activo,si,27,5430,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-009,otros,activo,si,11,2650,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-010,gobierno nacional,activo,no,46,8381,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-011,socioambiental-mineria,activo,si,18,9603,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-012,comunal,activo,si,32,14912,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-013,comunal,latente,no aplica,9,7390,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-014,comunal,activo,no,30,15738,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-015,socioambiental-mineria,activo,si,7,3498,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-016,otros,activo,no,1,2129,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-017,socioambiental-hidrocarburos,activo,no,25,1613,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-018,socioambiental-mineria,activo,no,43,10262,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-019,socioambiental-mineria,activo,si,10,15210,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-020,comunal,latente,no aplica,20,2819,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-021,socioambiental-mineria,latente,no aplica,21,1494,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-022,otros,activo,si,12,3009,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Ayacucho,CS-AYA-023,socioambiental-hidrocarburos,activo,no,9,9792,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-001,socioambiental-hidrocarburos,activo,si,6,5302,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-002,socioambiental-mineria,activo,si,31,10819,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-003,otros,activo,si,31,4834,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-004,socioambiental-mineria,activo,no,15,3218,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-005,laboral,activo,si,33,14529,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-006,socioambiental-mineria,activo,no,30,6135,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-007,gobierno nacional,activo,no,11,5889,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-008,electoral,latente,no aplica,4,4656,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-009,gobierno nacional,activo,no,14,39530,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-010,socioambiental-mineria,activo,no,1,10960,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-011,gobierno nacional,activo,no,30,4052,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-012,otros,latente,no aplica,9,2174,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-013,socioambiental-hidrocarburos,activo,no,31,11514,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-014,laboral,activo,no,9,8680,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-015,laboral,activo,si,6,8604,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-016,laboral,activo,no,20,3268,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-017,socioambiental-mineria,activo,no,28,6227,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-018,socioambiental-mineria,activo,no,9,2533,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-019,socioambiental-mineria,activo,si,7,21830,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-020,gobierno nacional,activo,si,18,3646,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-021,comunal,latente,no aplica,13,9022,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-022,socioambiental-mineria,activo,no,24,9105,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-023,comunal,activo,si,39,4626,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-024,laboral,activo,no,24,2840,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-025,laboral,activo,no,21,1948,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-026,electoral,activo,no,1,7904,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-027,comunal,activo,si,35,23423,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-028,comunal,activo,no,29,49751,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-029,otros,latente,no aplica,14,2149,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-030,socioambiental-mineria,activo,no,27,7325,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-031,socioambiental-mineria,activo,no,28,22259,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-032,socioambiental-mineria,activo,no,4,3849,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-033,socioambiental-mineria,activo,si,15,4662,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-034,socioambiental-mineria,activo,no,4,2588,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-035,socioambiental-mineria,activo,si,18,25132,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-036,laboral,activo,si,33,26644,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-037,socioambiental-mineria,activo,si,1,6310,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-038,otros,activo,si,34,14087,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-039,gobierno nacional,activo,no,31,5464,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cajamarca,CS-CAJ-040,socioambiental-hidrocarburos,activo,no,28,12393,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-001,socioambiental-mineria,activo,no,12,8751,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-002,socioambiental-mineria,activo,no,37,5314,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-003,comunal,latente,no aplica,33,51005,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-004,laboral,activo,si,35,21312,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-005,gobierno nacional,latente,no aplica,5,27906,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-006,socioambiental-mineria,activo,si,22,8797,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-007,socioambiental-mineria,latente,no aplica,48,2835,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-008,socioambiental-hidrocarburos,activo,no,20,9753,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-009,otros,activo,si,16,2923,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-010,socioambiental-mineria,activo,si,35,7399,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-011,otros,activo,si,1,2565,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-012,socioambiental-hidrocarburos,activo,no,26,4661,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-013,socioambiental-hidrocarburos,activo,no,30,2252,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-014,socioambiental-mineria,activo,no,48,8368,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-015,laboral,activo,no,16,10937,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-016,socioambiental-mineria,activo,si,1,7344,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-017,socioambiental-mineria,activo,no,26,15373,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-018,socioambiental-mineria,activo,no,14,10704,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-019,socioambiental-mineria,activo,si,46,19058,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-020,laboral,activo,si,20,2474,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-021,comunal,activo,no,6,31038,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-022,socioambiental-mineria,activo,si,29,5467,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Callao,CS-CAL-023,laboral,latente,no aplica,34,1515,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-001,laboral,activo,no,14,9668,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-002,laboral,activo,no,11,9537,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-003,comunal,activo,si,40,3013,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-004,socioambiental-mineria,activo,si,21,24819,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-005,socioambiental-mineria,activo,no,28,19702,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-006,laboral,activo,no,7,13095,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-007,socioambiental-mineria,activo,si,24,2901,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-008,socioambiental-mineria,activo,si,22,6962,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-009,laboral,activo,si,1,34064,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-010,comunal,activo,no,18,6618,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-011,laboral,activo,si,16,8859,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-012,otros,latente,no aplica,10,7553,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-013,socioambiental-mineria,activo,no,12,5551,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-014,gobierno nacional,activo,si,4,7380,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-015,laboral,activo,si,35,1060,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-016,gobierno nacional,activo,si,29,26452,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-017,laboral,activo,si,9,11240,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-018,gobierno nacional,activo,si,37,7392,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-019,socioambiental-hidrocarburos,activo,si,19,8340,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-020,otros,activo,no,31,83759,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-021,gobierno nacional,latente,no aplica,26,20538,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-022,gobierno nacional,activo,si,42,14998,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-023,socioambiental-mineria,latente,no aplica,33,2746,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-024,socioambiental-mineria,activo,no,17,42499,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-025,gobierno nacional,activo,si,15,1719,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
Cusco,CS-CUS-026,socioambiental-mineria,activo,no,1,3378,Sintetico inspirado en categorias de reportes de conflictos sociales; no representa casos reales.
