mesa_id,distrito_id,eleccion_id,organizacion_id,organizacion_politica,votos,votos_validos_mesa,votos_emitidos_mesa,votos_blancos_mesa,votos_nulos_mesa,electores_habiles_mesa,estado_acta
M00004-03,D00004,EG2026-PRES,ORG02,Juntos por el Peru,11,112,134,8,14,218,contabilizada
M00004-03,D00004,EG2026-PRES,ORG03,Renovacion Popular,11,112,134,8,14,218,contabilizada
M00004-03,D00004,EG2026-PRES,ORG04,Partido del Buen Gobierno,14,112,134,8,14,218,contabilizada
M00004-03,D00004,EG2026-PRES,ORG05,Otros,56,112,134,8,14,218,contabilizada
M00004-04,D00004,EG2026-PRES,ORG01,Fuerza Popular,19,133,163,11,19,247,contabilizada
M00004-04,D00004,EG2026-PRES,ORG02,Juntos por el Peru,24,133,163,11,19,247,contabilizada
M00004-04,D00004,EG2026-PRES,ORG03,Renovacion Popular,19,133,163,11,19,247,contabilizada
M00004-04,D00004,EG2026-PRES,ORG04,Partido del Buen Gobierno,20,133,163,11,19,247,contabilizada
M00004-04,D00004,EG2026-PRES,ORG05,Otros,51,133,163,11,19,247,contabilizada
M00004-05,D00004,EG2026-PRES,ORG01,Fuerza Popular,35,173,194,7,14,297,contabilizada
M00004-05,D00004,EG2026-PRES,ORG02,Juntos por el Peru,25,173,194,7,14,297,contabilizada
M00004-05,D00004,EG2026-PRES,ORG03,Renovacion Popular,30,173,194,7,14,297,contabilizada
M00004-05,D00004,EG2026-PRES,ORG04,Partido del Buen Gobierno,24,173,194,7,14,297,contabilizada
M00004-05,D00004,EG2026-PRES,ORG05,Otros,59,173,194,7,14,297,contabilizada
M00004-06,D00004,EG2026-PRES,ORG01,Fuerza Popular,18,116,138,8,14,224,pendiente
M00004-06,D00004,EG2026-PRES,ORG02,Juntos por el Peru,20,116,138,8,14,224,pendiente
M00004-06,D00004,EG2026-PRES,ORG03,Renovacion Popular,15,116,138,8,14,224,pendiente
M00004-06,D00004,EG2026-PRES,ORG04,Partido del Buen Gobierno,15,116,138,8,14,224,pendiente
M00004-06,D00004,EG2026-PRES,ORG05,Otros,48,116,138,8,14,224,pendiente
M00005-01,D00005,EG2026-PRES,ORG01,Fuerza Popular,36,254,295,20,21,405,contabilizada
M00005-01,D00005,EG2026-PRES,ORG02,Juntos por el Peru,62,254,295,20,21,405,contabilizada
M00005-01,D00005,EG2026-PRES,ORG03,Renovacion Popular,18,254,295,20,21,405,contabilizada
M00005-01,D00005,EG2026-PRES,ORG04,Partido del Buen Gobierno,30,254,295,20,21,405,contabilizada
M00005-01,D00005,EG2026-PRES,ORG05,Otros,108,254,295,20,21,405,contabilizada
M00005-02,D00005,EG2026-PRES,ORG01,Fuerza Popular,18,180,218,18,20,333,contabilizada
M00005-02,D00005,EG2026-PRES,ORG02,Juntos por el Peru,46,180,218,18,20,333,contabilizada
M00005-02,D00005,EG2026-PRES,ORG03,Renovacion Popular,14,180,218,18,20,333,contabilizada
M00005-02,D00005,EG2026-PRES,ORG04,Partido del Buen Gobierno,22,180,218,18,20,333,contabilizada
M00005-02,D00005,EG2026-PRES,ORG05,Otros,80,180,218,18,20,333,contabilizada
M00005-03,D00005,EG2026-PRES,ORG01,Fuerza Popular,22,151,177,14,12,258,contabilizada
M00005-03,D00005,EG2026-PRES,ORG02,Juntos por el Peru,26,151,177,14,12,258,contabilizada
M00005-03,D00005,EG2026-PRES,ORG03,Renovacion Popular,10,151,177,14,12,258,contabilizada
M00005-03,D00005,EG2026-PRES,ORG04,Partido del Buen Gobierno,21,151,177,14,12,258,contabilizada
M00005-03,D00005,EG2026-PRES,ORG05,Otros,72,151,177,14,12,258,contabilizada
M00005-04,D00005,EG2026-PRES,ORG01,Fuerza Popular,11,114,132,8,10,193,contabilizada
M00005-04,D00005,EG2026-PRES,ORG02,Juntos por el Peru,21,114,132,8,10,193,contabilizada
M00005-04,D00005,EG2026-PRES,ORG03,Renovacion Popular,12,114,132,8,10,193,contabilizada
M00005-04,D00005,EG2026-PRES,ORG04,Partido del Buen Gobierno,11,114,132,8,10,193,contabilizada
M00005-04,D00005,EG2026-PRES,ORG05,Otros,59,114,132,8,10,193,contabilizada
M00005-05,D00005,EG2026-PRES,ORG01,Fuerza Popular,30,218,256,9,29,337,contabilizada
M00005-05,D00005,EG2026-PRES,ORG02,Juntos por el Peru,51,218,256,9,29,337,contabilizada
M00005-05,D00005,EG2026-PRES,ORG03,Renovacion Popular,14,218,256,9,29,337,contabilizada
M00005-05,D00005,EG2026-PRES,ORG04,Partido del Buen Gobierno,17,218,256,9,29,337,contabilizada
M00005-05,D00005,EG2026-PRES,ORG05,Otros,106,218,256,9,29,337,contabilizada
M00006-01,D00006,EG2026-PRES,ORG01,Fuerza Popular,49,239,295,29,27,380,contabilizada
M00006-01,D00006,EG2026-PRES,ORG02,Juntos por el Peru,31,239,295,29,27,380,contabilizada
M00006-01,D00006,EG2026-PRES,ORG03,Renovacion Popular,35,239,295,29,27,380,contabilizada
M00006-01,D00006,EG2026-PRES,ORG04,Partido del Buen Gobierno,30,239,295,29,27,380,contabilizada
M00006-01,D00006,EG2026-PRES,ORG05,Otros,94,239,295,29,27,380,contabilizada
M00006-02,D00006,EG2026-PRES,ORG01,Fuerza Popular,21,98,120,10,12,185,contabilizada
M00006-02,D00006,EG2026-PRES,ORG02,Juntos por el Peru,12,98,120,10,12,185,contabilizada
M00006-02,D00006,EG2026-PRES,ORG03,Renovacion Popular,10,98,120,10,12,185,contabilizada
M00006-02,D00006,EG2026-PRES,ORG04,Partido del Buen Gobierno,10,98,120,10,12,185,contabilizada
M00006-02,D00006,EG2026-PRES,ORG05,Otros,45,98,120,10,12,185,contabilizada
M00007-01,D00007,EG2026-PRES,ORG01,Fuerza Popular,26,188,224,11,25,316,contabilizada
M00007-01,D00007,EG2026-PRES,ORG02,Juntos por el Peru,23,188,224,11,25,316,contabilizada
M00007-01,D00007,EG2026-PRES,ORG03,Renovacion Popular,18,188,224,11,25,316,contabilizada
M00007-01,D00007,EG2026-PRES,ORG04,Partido del Buen Gobierno,21,188,224,11,25,316,contabilizada
M00007-01,D00007,EG2026-PRES,ORG05,Otros,100,188,224,11,25,316,contabilizada
M00007-02,D00007,EG2026-PRES,ORG01,Fuerza Popular,23,146,169,10,13,211,contabilizada
M00007-02,D00007,EG2026-PRES,ORG02,Juntos por el Peru,23,146,169,10,13,211,contabilizada
M00007-02,D00007,EG2026-PRES,ORG03,Renovacion Popular,17,146,169,10,13,211,contabilizada
M00007-02,D00007,EG2026-PRES,ORG04,Partido del Buen Gobierno,18,146,169,10,13,211,contabilizada
M00007-02,D00007,EG2026-PRES,ORG05,Otros,65,146,169,10,13,211,contabilizada
M00007-03,D00007,EG2026-PRES,ORG01,Fuerza Popular,39,194,233,11,28,346,contabilizada
M00007-03,D00007,EG2026-PRES,ORG02,Juntos por el Peru,26,194,233,11,28,346,contabilizada
M00007-03,D00007,EG2026-PRES,ORG03,Renovacion Popular,21,194,233,11,28,346,contabilizada
M00007-03,D00007,EG2026-PRES,ORG04,Partido del Buen Gobierno,32,194,233,11,28,346,contabilizada
M00007-03,D00007,EG2026-PRES,ORG05,Otros,76,194,233,11,28,346,contabilizada
M00007-04,D00007,EG2026-PRES,ORG01,Fuerza Popular,44,252,302,8,42,412,contabilizada
M00007-04,D00007,EG2026-PRES,ORG02,Juntos por el Peru,31,252,302,8,42,412,contabilizada
M00007-04,D00007,EG2026-PRES,ORG03,Renovacion Popular,46,252,302,8,42,412,contabilizada
M00007-04,D00007,EG2026-PRES,ORG04,Partido del Buen Gobierno,24,252,302,8,42,412,contabilizada
M00007-04,D00007,EG2026-PRES,ORG05,Otros,107,252,302,8,42,412,contabilizada
M00008-01,D00008,EG2026-PRES,ORG01,Fuerza Popular,46,243,299,13,43,403,contabilizada
M00008-01,D00008,EG2026-PRES,ORG02,Juntos por el Peru,58,243,299,13,43,403,contabilizada
M00008-01,D00008,EG2026-PRES,ORG03,Renovacion Popular,26,243,299,13,43,403,contabilizada
M00008-01,D00008,EG2026-PRES,ORG04,Partido del Buen Gobierno,20,243,299,13,43,403,contabilizada
M00008-01,D00008,EG2026-PRES,ORG05,Otros,93,243,299,13,43,403,contabilizada
M00008-02,D00008,EG2026-PRES,ORG01,Fuerza Popular,34,210,250,13,27,334,contabilizada
M00008-02,D00008,EG2026-PRES,ORG02,Juntos por el Peru,48,210,250,13,27,334,contabilizada
M00008-02,D00008,EG2026-PRES,ORG03,Renovacion Popular,16,210,250,13,27,334,contabilizada
M00008-02,D00008,EG2026-PRES,ORG04,Partido del Buen Gobierno,31,210,250,13,27,334,contabilizada
M00008-02,D00008,EG2026-PRES,ORG05,Otros,81,210,250,13,27,334,contabilizada
M00009-01,D00009,EG2026-PRES,ORG01,Fuerza Popular,46,172,201,13,16,328,contabilizada
M00009-01,D00009,EG2026-PRES,ORG02,Juntos por el Peru,22,172,201,13,16,328,contabilizada
M00009-01,D00009,EG2026-PRES,ORG03,Renovacion Popular,27,172,201,13,16,328,contabilizada
M00009-01,D00009,EG2026-PRES,ORG04,Partido del Buen Gobierno,30,172,201,13,16,328,contabilizada
M00009-01,D00009,EG2026-PRES,ORG05,Otros,47,172,201,13,16,328,contabilizada
M00009-02,D00009,EG2026-PRES,ORG01,Fuerza Popular,36,193,232,17,22,317,contabilizada
M00009-02,D00009,EG2026-PRES,ORG02,Juntos por el Peru,25,193,232,17,22,317,contabilizada
M00009-02,D00009,EG2026-PRES,ORG03,Renovacion Popular,37,193,232,17,22,317,contabilizada
M00009-02,D00009,EG2026-PRES,ORG04,Partido del Buen Gobierno,24,193,232,17,22,317,contabilizada
M00009-02,D00009,EG2026-PRES,ORG05,Otros,71,193,232,17,22,317,contabilizada
M00009-03,D00009,EG2026-PRES,ORG01,Fuerza Popular,32,163,182,9,10,241,contabilizada
M00009-03,D00009,EG2026-PRES,ORG02,Juntos por el Peru,18,163,182,9,10,241,contabilizada
M00009-03,D00009,EG2026-PRES,ORG03,Renovacion Popular,31,163,182,9,10,241,contabilizada
M00009-03,D00009,EG2026-PRES,ORG04,Partido del Buen Gobierno,18,163,182,9,10,241,contabilizada
M00009-03,D00009,EG2026-PRES,ORG05,Otros,64,163,182,9,10,241,contabilizada
M00009-04,D00009,EG2026-PRES,ORG01,Fuerza Popular,19,157,182,15,10,252,contabilizada
M00009-04,D00009,EG2026-PRES,ORG02,Juntos por el Peru,17,157,182,15,10,252,contabilizada
M00009-04,D00009,EG2026-PRES,ORG03,Renovacion Popular,40,157,182,15,10,252,contabilizada
M00009-04,D00009,EG2026-PRES,ORG04,Partido del Buen Gobierno,26,157,182,15,10,252,contabilizada
M00009-04,D00009,EG2026-PRES,ORG05,Otros,55,157,182,15,10,252,contabilizada
M00010-01,D00010,EG2026-PRES,ORG01,Fuerza Popular,15,145,164,5,14,249,observada
M00010-01,D00010,EG2026-PRES,ORG02,Juntos por el Peru,37,145,164,5,14,249,observada
M00010-01,D00010,EG2026-PRES,ORG03,Renovacion Popular,12,145,164,5,14,249,observada
M00010-01,D00010,EG2026-PRES,ORG04,Partido del Buen Gobierno,16,145,164,5,14,249,observada
M00010-01,D00010,EG2026-PRES,ORG05,Otros,65,145,164,5,14,249,observada
M00010-02,D00010,EG2026-PRES,ORG01,Fuerza Popular,18,239,282,17,26,387,contabilizada
M00010-02,D00010,EG2026-PRES,ORG02,Juntos por el Peru,66,239,282,17,26,387,contabilizada
M00010-02,D00010,EG2026-PRES,ORG03,Renovacion Popular,23,239,282,17,26,387,contabilizada
M00010-02,D00010,EG2026-PRES,ORG04,Partido del Buen Gobierno,31,239,282,17,26,387,contabilizada
M00010-02,D00010,EG2026-PRES,ORG05,Otros,101,239,282,17,26,387,contabilizada
M00010-03,D00010,EG2026-PRES,ORG01,Fuerza Popular,18,149,176,6,21,200,contabilizada
M00010-03,D00010,EG2026-PRES,ORG02,Juntos por el Peru,27,149,176,6,21,200,contabilizada
M00010-03,D00010,EG2026-PRES,ORG03,Renovacion Popular,16,149,176,6,21,200,contabilizada
M00010-03,D00010,EG2026-PRES,ORG04,Partido del Buen Gobierno,21,149,176,6,21,200,contabilizada
M00010-03,D00010,EG2026-PRES,ORG05,Otros,67,149,176,6,21,200,contabilizada
M00010-04,D00010,EG2026-PRES,ORG01,Fuerza Popular,27,221,266,21,24,355,contabilizada
M00010-04,D00010,EG2026-PRES,ORG02,Juntos por el Peru,54,221,266,21,24,355,contabilizada
M00010-04,D00010,EG2026-PRES,ORG03,Renovacion Popular,18,221,266,21,24,355,contabilizada
M00010-04,D00010,EG2026-PRES,ORG04,Partido del Buen Gobierno,26,221,266,21,24,355,contabilizada
M00010-04,D00010,EG2026-PRES,ORG05,Otros,96,221,266,21,24,355,contabilizada
M00011-01,D00011,EG2026-PRES,ORG01,Fuerza Popular,17,113,136,7,16,191,contabilizada
M00011-01,D00011,EG2026-PRES,ORG02,Juntos por el Peru,21,113,136,7,16,191,contabilizada
M00011-01,D00011,EG2026-PRES,ORG03,Renovacion Popular,17,113,136,7,16,191,contabilizada
M00011-01,D00011,EG2026-PRES,ORG04,Partido del Buen Gobierno,11,113,136,7,16,191,contabilizada
M00011-01,D00011,EG2026-PRES,ORG05,Otros,47,113,136,7,16,191,contabilizada
M00011-02,D00011,EG2026-PRES,ORG01,Fuerza Popular,32,171,196,9,16,258,contabilizada
M00011-02,D00011,EG2026-PRES,ORG02,Juntos por el Peru,23,171,196,9,16,258,contabilizada
M00011-02,D00011,EG2026-PRES,ORG03,Renovacion Popular,22,171,196,9,16,258,contabilizada
M00011-02,D00011,EG2026-PRES,ORG04,Partido del Buen Gobierno,24,171,196,9,16,258,contabilizada
M00011-02,D00011,EG2026-PRES,ORG05,Otros,70,171,196,9,16,258,contabilizada
M00012-01,D00012,EG2026-PRES,ORG01,Fuerza Popular,14,153,176,10,13,233,contabilizada
M00012-01,D00012,EG2026-PRES,ORG02,Juntos por el Peru,40,153,176,10,13,233,contabilizada
M00012-01,D00012,EG2026-PRES,ORG03,Renovacion Popular,12,153,176,10,13,233,contabilizada
M00012-01,D00012,EG2026-PRES,ORG04,Partido del Buen Gobierno,18,153,176,10,13,233,contabilizada
M00012-01,D00012,EG2026-PRES,ORG05,Otros,69,153,176,10,13,233,contabilizada
M00012-02,D00012,EG2026-PRES,ORG01,Fuerza Popular,15,147,184,16,21,263,contabilizada
M00012-02,D00012,EG2026-PRES,ORG02,Juntos por el Peru,28,147,184,16,21,263,contabilizada
M00012-02,D00012,EG2026-PRES,ORG03,Renovacion Popular,12,147,184,16,21,263,contabilizada
M00012-02,D00012,EG2026-PRES,ORG04,Partido del Buen Gobierno,17,147,184,16,21,263,contabilizada
M00012-02,D00012,EG2026-PRES,ORG05,Otros,75,147,184,16,21,263,contabilizada
M00012-03,D00012,EG2026-PRES,ORG01,Fuerza Popular,26,202,254,20,32,327,contabilizada
M00012-03,D00012,EG2026-PRES,ORG02,Juntos por el Peru,46,202,254,20,32,327,contabilizada
M00012-03,D00012,EG2026-PRES,ORG03,Renovacion Popular,12,202,254,20,32,327,contabilizada
M00012-03,D00012,EG2026-PRES,ORG04,Partido del Buen Gobierno,16,202,254,20,32,327,contabilizada
M00012-03,D00012,EG2026-PRES,ORG05,Otros,102,202,254,20,32,327,contabilizada
M00012-04,D00012,EG2026-PRES,ORG01,Fuerza Popular,27,207,250,15,28,390,contabilizada
M00012-04,D00012,EG2026-PRES,ORG02,Juntos por el Peru,46,207,250,15,28,390,contabilizada
M00012-04,D00012,EG2026-PRES,ORG03,Renovacion Popular,20,207,250,15,28,390,contabilizada
M00012-04,D00012,EG2026-PRES,ORG04,Partido del Buen Gobierno,22,207,250,15,28,390,contabilizada
M00012-04,D00012,EG2026-PRES,ORG05,Otros,92,207,250,15,28,390,contabilizada
M00012-05,D00012,EG2026-PRES,ORG01,Fuerza Popular,39,220,272,28,24,335,contabilizada
M00012-05,D00012,EG2026-PRES,ORG02,Juntos por el Peru,36,220,272,28,24,335,contabilizada
M00012-05,D00012,EG2026-PRES,ORG03,Renovacion Popular,22,220,272,28,24,335,contabilizada
M00012-05,D00012,EG2026-PRES,ORG04,Partido del Buen Gobierno,25,220,272,28,24,335,contabilizada
M00012-05,D00012,EG2026-PRES,ORG05,Otros,98,220,272,28,24,335,contabilizada
M00013-01,D00013,EG2026-PRES,ORG01,Fuerza Popular,17,143,171,11,17,238,contabilizada
M00013-01,D00013,EG2026-PRES,ORG02,Juntos por el Peru,23,143,171,11,17,238,contabilizada
M00013-01,D00013,EG2026-PRES,ORG03,Renovacion Popular,11,143,171,11,17,238,contabilizada
M00013-01,D00013,EG2026-PRES,ORG04,Partido del Buen Gobierno,20,143,171,11,17,238,contabilizada
M00013-01,D00013,EG2026-PRES,ORG05,Otros,72,143,171,11,17,238,contabilizada
M00013-02,D00013,EG2026-PRES,ORG01,Fuerza Popular,24,176,215,16,23,302,contabilizada
M00013-02,D00013,EG2026-PRES,ORG02,Juntos por el Peru,35,176,215,16,23,302,contabilizada
M00013-02,D00013,EG2026-PRES,ORG03,Renovacion Popular,12,176,215,16,23,302,contabilizada
M00013-02,D00013,EG2026-PRES,ORG04,Partido del Buen Gobierno,25,176,215,16,23,302,contabilizada
M00013-02,D00013,EG2026-PRES,ORG05,Otros,80,176,215,16,23,302,contabilizada
M00013-03,D00013,EG2026-PRES,ORG01,Fuerza Popular,17,112,133,10,11,182,observada
M00013-03,D00013,EG2026-PRES,ORG02,Juntos por el Peru,23,112,133,10,11,182,observada
M00013-03,D00013,EG2026-PRES,ORG03,Renovacion Popular,8,112,133,10,11,182,observada
M00013-03,D00013,EG2026-PRES,ORG04,Partido del Buen Gobierno,11,112,133,10,11,182,observada
M00013-03,D00013,EG2026-PRES,ORG05,Otros,53,112,133,10,11,182,observada
M00013-04,D00013,EG2026-PRES,ORG01,Fuerza Popular,33,251,297,18,28,370,contabilizada
M00013-04,D00013,EG2026-PRES,ORG02,Juntos por el Peru,37,251,297,18,28,370,contabilizada
M00013-04,D00013,EG2026-PRES,ORG03,Renovacion Popular,20,251,297,18,28,370,contabilizada
M00013-04,D00013,EG2026-PRES,ORG04,Partido del Buen Gobierno,31,251,297,18,28,370,contabilizada
M00013-04,D00013,EG2026-PRES,ORG05,Otros,130,251,297,18,28,370,contabilizada
M00013-05,D00013,EG2026-PRES,ORG01,Fuerza Popular,23,238,276,15,23,398,contabilizada
M00013-05,D00013,EG2026-PRES,ORG02,Juntos por el Peru,51,238,276,15,23,398,contabilizada
M00013-05,D00013,EG2026-PRES,ORG03,Renovacion Popular,12,238,276,15,23,398,contabilizada
M00013-05,D00013,EG2026-PRES,ORG04,Partido del Buen Gobierno,33,238,276,15,23,398,contabilizada
M00013-05,D00013,EG2026-PRES,ORG05,Otros,119,238,276,15,23,398,contabilizada
M00013-06,D00013,EG2026-PRES,ORG01,Fuerza Popular,22,194,226,11,21,285,contabilizada
M00013-06,D00013,EG2026-PRES,ORG02,Juntos por el Peru,45,194,226,11,21,285,contabilizada
M00013-06,D00013,EG2026-PRES,ORG03,Renovacion Popular,13,194,226,11,21,285,contabilizada
M00013-06,D00013,EG2026-PRES,ORG04,Partido del Buen Gobierno,22,194,226,11,21,285,contabilizada
M00013-06,D00013,EG2026-PRES,ORG05,Otros,92,194,226,11,21,285,contabilizada
M00014-01,D00014,EG2026-PRES,ORG01,Fuerza Popular,31,252,277,12,13,384,contabilizada
M00014-01,D00014,EG2026-PRES,ORG02,Juntos por el Peru,26,252,277,12,13,384,contabilizada
