departamento,obras_paralizadas,monto_total_soles,avance_promedio_pct,poblacion_departamento_sintetica,presupuesto_inversion_soles_sintetico,sector,nivel_resumen,monto_por_100k_habitantes,monto_sobre_presupuesto_pct
Pasco,32,288323355.0,51.328125,853792,399297396.1,Total,departamento-total,33769741.927776314,72.20767223029732
Piura,46,263845349.01,50.04347826086956,268242,309353256.78,Total,departamento-total,98360938.63377099,85.28933936442652
Puno,66,486625677.96,56.24090909090909,1573210,490455353.58,Total,departamento-total,30932022.931458607,99.21915917686577
San Martin,24,209331408.8,50.71666666666667,1049418,342115076.15,Total,departamento-total,19947381.196053434,61.187425925719474
Tacna,39,234699545.58,59.06666666666666,1597433,291515788.41,Total,departamento-total,14692293.547209807,80.51006323194706
Tumbes,19,105382165.17,57.21052631578947,296422,464876696.73,Total,departamento-total,35551398.064246245,22.668842278236603
Ucayali,42,294615025.5,52.40714285714286,767845,968476890.35,Total,departamento-total,38369075.20397997,30.420449722195066
Amazonas,3,16886861.990000002,40.93333333333333,340067,780864064.18,Educacion,departamento-sector,4965745.57072577,2.1625866478736233
Amazonas,2,2899649.96,37.95,340067,780864064.18,Riego,departamento-sector,852670.1973434646,0.3713386353673449
Amazonas,5,25201009.0,68.58,340067,780864064.18,Salud,departamento-sector,7410601.14624471,3.2273234428407274
Amazonas,7,36734925.44,52.42857142857143,340067,780864064.18,Saneamiento,departamento-sector,10802261.15441957,4.704394417045691
Amazonas,4,22005075.88,59.325,340067,780864064.18,Transporte,departamento-sector,6470806.011756507,2.818041819238787
Ancash,10,48507387.23,58.989999999999995,904290,279705625.43,Educacion,departamento-sector,5364140.621924383,17.342299481974347
Ancash,2,7787829.33,76.65,904290,279705625.43,Riego,departamento-sector,861209.272467903,2.7842948521423305
Ancash,10,84136635.37,59.17,904290,279705625.43,Salud,departamento-sector,9304165.187052827,30.080423030696714
Ancash,11,93511276.7,56.89090909090908,904290,279705625.43,Saneamiento,departamento-sector,10340850.468323216,33.43203289395495
Ancash,13,53069978.14,55.97692307692308,904290,279705625.43,Transporte,departamento-sector,5868690.148071968,18.97351118999266
Apurimac,10,69228697.55,60.510000000000005,474555,511301920.22,Educacion,departamento-sector,14588129.415979179,13.539690506191073
Apurimac,3,10766616.17,48.699999999999996,474555,511301920.22,Riego,departamento-sector,2268781.5258505335,2.105725745244102
Apurimac,12,106216375.64,59.675000000000004,474555,511301920.22,Salud,departamento-sector,22382310.93129353,20.77370951282519
Apurimac,12,72418360.64,63.125,474555,511301920.22,Saneamiento,departamento-sector,15260267.121829927,14.163522133623172
Apurimac,4,20281781.29,64.525,474555,511301920.22,Transporte,departamento-sector,4273852.617715543,3.9666937455023192
Arequipa,7,82293777.9,55.07142857142857,190783,556782371.22,Educacion,departamento-sector,43134754.09234576,14.780241285240598
Arequipa,5,25544711.799999997,58.58,190783,556782371.22,Riego,departamento-sector,13389406.708144855,4.5879167733036175
Arequipa,1,6676709.06,8.7,190783,556782371.22,Salud,departamento-sector,3499635.219070881,1.199159564870966
Arequipa,15,78639014.84,45.88666666666666,190783,556782371.22,Saneamiento,departamento-sector,41219089.14316265,14.123833458966962
Arequipa,11,41999463.65,55.86363636363637,190783,556782371.22,Transporte,departamento-sector,22014258.948648464,7.543245946880896
Ayacucho,6,23260148.27,38.1,1103288,457989012.91,Educacion,departamento-sector,2108257.161321432,5.078756829166746
Ayacucho,3,27336355.4,42.9,1103288,457989012.91,Riego,departamento-sector,2477717.096533271,5.96877973694358
Ayacucho,5,30533971.33,54.279999999999994,1103288,457989012.91,Salud,departamento-sector,2767543.1374219605,6.66696590295721
Ayacucho,4,35550673.83,57.699999999999996,1103288,457989012.91,Saneamiento,departamento-sector,3222247.8473435766,7.762342071071933
Ayacucho,6,44889681.04,47.800000000000004,1103288,457989012.91,Transporte,departamento-sector,4068718.3255867916,9.80147553208254
Cajamarca,16,81882700.97,44.05625,236158,853749858.86,Educacion,departamento-sector,34672846.55611921,9.590947526402733
Cajamarca,1,11001334.19,31.8,236158,853749858.86,Riego,departamento-sector,4658463.48207556,1.2885898692492814
Cajamarca,12,65389497.04,50.78333333333333,236158,853749858.86,Salud,departamento-sector,27688876.531813446,7.659093159595208
Cajamarca,20,176824360.98,58.96,236158,853749858.86,Saneamiento,departamento-sector,74875448.20840284,20.711495193230373
Cajamarca,19,139961372.42,51.44210526315789,236158,853749858.86,Transporte,departamento-sector,59265988.202813365,16.393721295238446
Callao,11,81441341.99,43.38181818181818,221357,875829631.0,Educacion,departamento-sector,36791852.97505839,9.298765320032885
Callao,4,16294395.67,31.650000000000002,221357,875829631.0,Riego,departamento-sector,7361138.644813581,1.860452660341655
Callao,6,39499181.55,75.91666666666667,221357,875829631.0,Salud,departamento-sector,17844107.730950456,4.509916101479786
Callao,10,65454300.29,37.28,221357,875829631.0,Saneamiento,departamento-sector,29569564.228824932,7.473405554373165
Callao,14,49780410.15,52.51428571428572,221357,875829631.0,Transporte,departamento-sector,22488744.49418812,5.68380063747809
Cusco,11,92327554.33999999,54.8,1128519,1074423045.91,Educacion,departamento-sector,8181302.604564034,8.593221700843328
Cusco,8,39946822.44,50.3,1128519,1074423045.91,Riego,departamento-sector,3539756.3036156236,3.7179789275802797
Cusco,6,29011322.060000002,56.9,1128519,1074423045.91,Salud,departamento-sector,2570742.899322032,2.7001768223826947
Cusco,9,53473886.989999995,55.15555555555555,1128519,1074423045.91,Saneamiento,departamento-sector,4738412.644359554,4.976986224705318
Cusco,18,200073000.72,59.17777777777778,1128519,1074423045.91,Transporte,departamento-sector,17728811.009827923,18.62143607972825
Huancavelica,2,9180893.44,66.5,549953,459023677.8,Educacion,departamento-sector,1669396.0102045082,2.0000914732769366
Huancavelica,4,35055739.43,49.275,549953,459023677.8,Riego,departamento-sector,6374315.5196898645,7.637022037297616
Huancavelica,6,41270698.23,59.13333333333333,549953,459023677.8,Salud,departamento-sector,7504404.600029457,8.990973717913947
Huancavelica,7,29016197.42,50.971428571428575,549953,459023677.8,Saneamiento,departamento-sector,5276123.126885388,6.3212855509041015
Huancavelica,9,71172474.63,52.044444444444444,549953,459023677.8,Transporte,departamento-sector,12941555.847499695,15.50518591352718
Huanuco,3,27232686.28,64.73333333333333,156869,403504248.92,Educacion,departamento-sector,17360145.267707452,6.749045729478611
Huanuco,4,12398790.649999999,45.275,156869,403504248.92,Riego,departamento-sector,7903913.8708094,3.0727782131628114
Huanuco,4,33791836.6,56.625,156869,403504248.92,Salud,departamento-sector,21541436.8677049,8.374592508119951
Huanuco,9,47786476.56,51.3111111111111,156869,403504248.92,Saneamiento,departamento-sector,30462664.108268682,11.842868244362476
Huanuco,4,22627454.06,22.200000000000003,156869,403504248.92,Transporte,departamento-sector,14424426.789231779,5.6077362557057455
Ica,3,19829907.64,59.03333333333333,1169818,464494719.33,Educacion,departamento-sector,1695127.5873682918,4.269135216134041
Ica,5,20363297.85,51.760000000000005,1169818,464494719.33,Riego,departamento-sector,1740723.5869169394,4.383967567892394
Ica,8,40898359.17,55.2375,1169818,464494719.33,Salud,departamento-sector,3496130.096305579,8.80491369826398
Ica,16,94242149.2,52.30625,1169818,464494719.33,Saneamiento,departamento-sector,8056137.723987834,20.289175587601402
Ica,13,73066457.5,53.66153846153846,1169818,464494719.33,Transporte,departamento-sector,6245967.962537763,15.730309615875306
Junin,4,9416241.34,48.925,1189355,334146749.91,Educacion,departamento-sector,791709.9049484805,2.817995788537879
Junin,5,8437276.4,60.879999999999995,1189355,334146749.91,Riego,departamento-sector,709399.3298888894,2.525021237606686
Junin,5,17349442.66,60.46,1189355,334146749.91,Salud,departamento-sector,1458727.0125404105,5.192162624557308
Junin,6,19542279.46,59.71666666666667,1189355,334146749.91,Saneamiento,departamento-sector,1643098.9452266146,5.848412251582148
Junin,10,44203326.43,37.62,1189355,334146749.91,Transporte,departamento-sector,3716579.694876635,13.22871655699355
La Libertad,5,22412248.939999998,62.04,652861,410255783.1,Educacion,departamento-sector,3432928.1332473527,5.4629940303698294
La Libertad,2,6455369.61,65.15,652861,410255783.1,Riego,departamento-sector,988781.6257978345,1.5734987478352014
La Libertad,4,16146655.11,46.275000000000006,652861,410255783.1,Salud,departamento-sector,2473214.8359298534,3.9357531996238175
La Libertad,6,18164949.71,43.78333333333333,652861,410255783.1,Saneamiento,departamento-sector,2782360.9788301033,4.427713260430088
La Libertad,7,58145538.67,45.74285714285714,652861,410255783.1,Transporte,departamento-sector,8906266.214400923,14.172996716983999
Lambayeque,4,32676481.459999997,31.325,950009,553241711.35,Educacion,departamento-sector,3439597.041712236,5.906366202986404
Lambayeque,1,21641743.5,28.8,950009,553241711.35,Riego,departamento-sector,2278056.68156828,3.911806188147061
Lambayeque,5,29472647.939999998,40.82000000000001,950009,553241711.35,Salud,departamento-sector,3102354.602956393,5.327264256355858
Lambayeque,8,40713364.85,53.0625,950009,553241711.35,Saneamiento,departamento-sector,4285576.752430767,7.35905554746636
Lambayeque,3,9388055.45,54.36666666666667,950009,553241711.35,Transporte,departamento-sector,988207.0011968306,1.6969175059291197
Lima,14,139609327.57,62.68571428571429,10300000,362912776.09,Educacion,departamento-sector,1355430.3647572815,38.46911345313944
Lima,3,20185693.72,63.333333333333336,10300000,362912776.09,Riego,departamento-sector,195977.60893203883,5.562133672305348
Lima,11,89917962.92,46.31818181818182,10300000,362912776.09,Salud,departamento-sector,872989.931262136,24.776742193749868
Lima,11,69300756.6,44.63636363636363,10300000,362912776.09,Saneamiento,departamento-sector,672822.8796116504,19.095705956302254
Lima,10,126778513.63000001,57.779999999999994,10300000,362912776.09,Transporte,departamento-sector,1230859.355631068,34.93360443131927
Loreto,5,65733114.58,57.3,344348,451590411.6,Educacion,departamento-sector,19089152.421387665,14.55591458355047
Loreto,2,7736691.8100000005,73.2,344348,451590411.6,Riego,departamento-sector,2246765.4262548354,1.7132099378701688
Loreto,5,13711528.89,55.9,344348,451590411.6,Salud,departamento-sector,3981881.3787215264,3.03627546949449
Loreto,7,31870053.28,56.94285714285714,344348,451590411.6,Saneamiento,departamento-sector,9255187.566066885,7.057291842641948
Loreto,6,36275274.269999996,48.76666666666667,344348,451590411.6,Transporte,departamento-sector,10534480.894327829,8.03278221552036
Moquegua,8,51325625.9,57.974999999999994,472082,466990929.96,Educacion,departamento-sector,10872184.472189153,10.990711512190671
Moquegua,4,36911331.79,27.0,472082,466990929.96,Riego,departamento-sector,7818839.055503069,7.90407894927673
Moquegua,2,8535661.17,62.949999999999996,472082,466990929.96,Salud,departamento-sector,1808088.6731542402,1.827800203899275
Moquegua,8,119303107.19,61.2625,472082,466990929.96,Saneamiento,departamento-sector,25271691.610779483,25.547200070934757
Moquegua,11,39557351.39,53.527272727272724,472082,466990929.96,Transporte,departamento-sector,8379339.053384794,8.4706894400258
Pasco,5,37437436.379999995,53.120000000000005,853792,399297396.1,Educacion,departamento-sector,4384842.722817735,9.375827827994192
Pasco,5,22639398.89,61.48,853792,399297396.1,Riego,departamento-sector,2651629.3066695402,5.669808796932448
Pasco,7,81198981.65,49.75714285714286,853792,399297396.1,Salud,departamento-sector,9510393.825428208,20.335464854788217
Pasco,7,93747470.80999999,58.92857142857143,853792,399297396.1,Saneamiento,departamento-sector,10980129.915717175,23.478107226755338
Pasco,8,53300067.269999996,38.5875,853792,399297396.1,Transporte,departamento-sector,6242746.15714366,13.34846352382712
Piura,13,79052470.96,49.107692307692304,268242,309353256.78,Educacion,departamento-sector,29470579.163591083,25.55410981699121
Piura,1,20218473.55,58.8,268242,309353256.78,Riego,departamento-sector,7537400.388455201,6.535723515714785
Piura,8,51842076.64,39.9125,268242,309353256.78,Salud,departamento-sector,19326606.81026834,16.758212659409004
Piura,12,66977031.59,57.90833333333333,268242,309353256.78,Saneamiento,departamento-sector,24968883.16892955,21.650663156790838
Piura,12,45755296.27,49.21666666666667,268242,309353256.78,Transporte,departamento-sector,17057469.102526825,14.790630215520698
Puno,17,67697157.84,61.48235294117647,1573210,490455353.58,Educacion,departamento-sector,4303122.77699735,13.80291954116832
Puno,6,74849162.35,40.516666666666666,1573210,490455353.58,Riego,departamento-sector,4757734.971809231,15.261157168262221
Puno,14,61031097.21,50.128571428571426,1573210,490455353.58,Salud,departamento-sector,3879399.2671035654,12.443762059994517
Puno,18,193454009.94,56.31111111111111,1573210,490455353.58,Saneamiento,departamento-sector,12296769.658214733,39.44375538525853
Puno,11,89594250.61999999,64.38181818181819,1573210,490455353.58,Transporte,departamento-sector,5694996.257333731,18.267565022182175
San Martin,2,10688237.71,52.25,1049418,342115076.15,Educacion,departamento-sector,1018491.9364828888,3.124164485903496
San Martin,1,19756073.35,62.1,1049418,342115076.15,Riego,departamento-sector,1882574.2792671751,5.77468656813533
San Martin,4,17233703.28,50.1,1049418,342115076.15,Salud,departamento-sector,1642215.3307833488,5.037399542265101
San Martin,7,97462800.80000001,47.42857142857143,1049418,342115076.15,Saneamiento,departamento-sector,9287319.333192304,28.488309225305102
San Martin,10,64190593.66,51.82000000000001,1049418,342115076.15,Transporte,departamento-sector,6116780.316327716,18.762866104110447
Tacna,8,23811950.7,64.55,1597433,291515788.41,Educacion,departamento-sector,1490638.461832202,8.168322830772333
Tacna,6,30605075.400000002,50.333333333333336,1597433,291515788.41,Riego,departamento-sector,1915891.020155462,10.498599601389596
Tacna,7,41404557.03,55.67142857142857,1597433,291515788.41,Salud,departamento-sector,2591943.2633481342,14.203195393234378
Tacna,13,86035884.26,61.23846153846154,1597433,291515788.41,Saneamiento,departamento-sector,5385883.743480947,29.513284590608702
Tacna,5,52842078.19,59.879999999999995,1597433,291515788.41,Transporte,departamento-sector,3307937.058393059,18.126660815942046
Tumbes,2,7246198.41,69.1,296422,464876696.73,Educacion,departamento-sector,2444554.860975231,1.5587355660050617
Tumbes,4,31992166.98,52.375,296422,464876696.73,Riego,departamento-sector,10792777.519887188,6.881860761151687
Tumbes,6,18246545.2,47.650000000000006,296422,464876696.73,Salud,departamento-sector,6155597.492763694,3.9250290084120043
Tumbes,2,16561418.059999999,67.4,296422,464876696.73,Saneamiento,departamento-sector,5587108.264568756,3.562539954464281
Tumbes,5,31335836.52,63.720000000000006,296422,464876696.73,Transporte,departamento-sector,10571359.926051373,6.740676988203568
Ucayali,12,56258373.45,58.425000000000004,767845,968476890.35,Educacion,departamento-sector,7326787.756643594,5.808953627140103
Ucayali,3,9277697.83,39.86666666666667,767845,968476890.35,Riego,departamento-sector,1208277.4296895857,0.957967910483348
Ucayali,9,58454580.3,51.43333333333333,767845,968476890.35,Salud,departamento-sector,7612809.916063788,6.035722781043848
Ucayali,8,109311111.71,49.712500000000006,767845,968476890.35,Saneamiento,departamento-sector,14236090.839948164,11.286909661881122
Ucayali,10,61313262.21,51.98,767845,968476890.35,Transporte,departamento-sector,7985109.261634835,6.330895741646645
