departamento,ubigeo_departamento_sintetico,mesa_codigo_ejemplo,agrupacion,candidato,votos,pct_votos_validos,pct_votos_emitidos,actas_contabilizadas_pct,actas_enviadas_jee,actas_pendientes,votos_validos_departamento,votos_emitidos_departamento,votos_blancos_departamento,votos_nulos_departamento,votos_impugnados_departamento,electores_habiles_departamento,orden_en_grafico_original,votos_validos_total,votos_emitidos_total,electores_habiles_referencial,nota
Callao,140600,000007,Juntos por el Peru,R. Sanchez,51233,9.967,8.038,99.966,1,0,514050,637351,38953,83866,482,860603,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Callao,140600,000007,Renovacion Popular,R. Lopez Aliaga,114461,22.267,17.959,99.966,1,0,514050,637351,38953,83866,482,860603,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Callao,140600,000007,Partido del Buen Gobierno,J. Nieto,52629,10.238,8.257,99.966,1,0,514050,637351,38953,83866,482,860603,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Callao,140600,000007,Partido Civico Obras,R. Belmont,53277,10.364,8.359,99.966,1,0,514050,637351,38953,83866,482,860603,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Callao,140600,000007,Ahora Nacion,P. Lopez Chau,29271,5.694,4.593,99.966,1,0,514050,637351,38953,83866,482,860603,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Callao,140600,000007,Pais para Todos,C. Alvarez,39086,7.604,6.133,99.966,1,0,514050,637351,38953,83866,482,860603,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Callao,140600,000007,Otros,Varias candidaturas,93816,18.25,14.72,99.966,1,0,514050,637351,38953,83866,482,860603,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Fuerza Popular,K. Fujimori,93434,18.811,15.244,99.931,2,0,496689,612928,54768,59193,2278,853287,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Juntos por el Peru,R. Sanchez,49329,9.932,8.048,99.931,2,0,496689,612928,54768,59193,2278,853287,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Renovacion Popular,R. Lopez Aliaga,43868,8.832,7.157,99.931,2,0,496689,612928,54768,59193,2278,853287,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Partido del Buen Gobierno,J. Nieto,64246,12.935,10.482,99.931,2,0,496689,612928,54768,59193,2278,853287,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Partido Civico Obras,R. Belmont,65348,13.157,10.662,99.931,2,0,496689,612928,54768,59193,2278,853287,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Ahora Nacion,P. Lopez Chau,47881,9.64,7.812,99.931,2,0,496689,612928,54768,59193,2278,853287,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Pais para Todos,C. Alvarez,42881,8.633,6.996,99.931,2,0,496689,612928,54768,59193,2278,853287,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Cusco,140700,900008,Otros,Varias candidaturas,89702,18.06,14.635,99.931,2,0,496689,612928,54768,59193,2278,853287,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Fuerza Popular,K. Fujimori,54278,9.337,7.935,99.666,10,0,581294,684075,49045,52309,1427,884332,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Juntos por el Peru,R. Sanchez,96516,16.604,14.109,99.666,10,0,581294,684075,49045,52309,1427,884332,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Renovacion Popular,R. Lopez Aliaga,62626,10.774,9.155,99.666,10,0,581294,684075,49045,52309,1427,884332,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Partido del Buen Gobierno,J. Nieto,67652,11.638,9.89,99.666,10,0,581294,684075,49045,52309,1427,884332,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Partido Civico Obras,R. Belmont,69813,12.01,10.205,99.666,10,0,581294,684075,49045,52309,1427,884332,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Ahora Nacion,P. Lopez Chau,33056,5.687,4.832,99.666,10,0,581294,684075,49045,52309,1427,884332,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Pais para Todos,C. Alvarez,38779,6.671,5.669,99.666,10,0,581294,684075,49045,52309,1427,884332,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huancavelica,140800,000009,Otros,Varias candidaturas,158574,27.279,23.181,99.666,10,0,581294,684075,49045,52309,1427,884332,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Fuerza Popular,K. Fujimori,61463,17.918,15.15,99.72,5,0,343022,405687,34724,27525,416,527117,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Juntos por el Peru,R. Sanchez,39587,11.541,9.758,99.72,5,0,343022,405687,34724,27525,416,527117,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Renovacion Popular,R. Lopez Aliaga,33096,9.648,8.158,99.72,5,0,343022,405687,34724,27525,416,527117,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Partido del Buen Gobierno,J. Nieto,48638,14.179,11.989,99.72,5,0,343022,405687,34724,27525,416,527117,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Partido Civico Obras,R. Belmont,33734,9.834,8.315,99.72,5,0,343022,405687,34724,27525,416,527117,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Ahora Nacion,P. Lopez Chau,21570,6.288,5.317,99.72,5,0,343022,405687,34724,27525,416,527117,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Pais para Todos,C. Alvarez,25490,7.431,6.283,99.72,5,0,343022,405687,34724,27525,416,527117,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Huanuco,140900,000010,Otros,Varias candidaturas,79444,23.16,19.583,99.72,5,0,343022,405687,34724,27525,416,527117,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Fuerza Popular,K. Fujimori,80442,22.857,20.02,99.756,5,0,351936,401801,20799,29066,0,605368,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Juntos por el Peru,R. Sanchez,26798,7.614,6.669,99.756,5,0,351936,401801,20799,29066,0,605368,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Renovacion Popular,R. Lopez Aliaga,47981,13.633,11.941,99.756,5,0,351936,401801,20799,29066,0,605368,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Partido del Buen Gobierno,J. Nieto,46770,13.289,11.64,99.756,5,0,351936,401801,20799,29066,0,605368,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Partido Civico Obras,R. Belmont,32722,9.298,8.144,99.756,5,0,351936,401801,20799,29066,0,605368,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Ahora Nacion,P. Lopez Chau,31907,9.066,7.941,99.756,5,0,351936,401801,20799,29066,0,605368,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Pais para Todos,C. Alvarez,21974,6.244,5.469,99.756,5,0,351936,401801,20799,29066,0,605368,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Ica,141000,000011,Otros,Varias candidaturas,63342,17.998,15.765,99.756,5,0,351936,401801,20799,29066,0,605368,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Fuerza Popular,K. Fujimori,106683,14.541,12.561,99.952,2,0,733665,849304,45803,67312,2524,1217350,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Juntos por el Peru,R. Sanchez,129827,17.696,15.286,99.952,2,0,733665,849304,45803,67312,2524,1217350,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Renovacion Popular,R. Lopez Aliaga,68946,9.397,8.118,99.952,2,0,733665,849304,45803,67312,2524,1217350,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Partido del Buen Gobierno,J. Nieto,87900,11.981,10.35,99.952,2,0,733665,849304,45803,67312,2524,1217350,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Partido Civico Obras,R. Belmont,103346,14.086,12.168,99.952,2,0,733665,849304,45803,67312,2524,1217350,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Ahora Nacion,P. Lopez Chau,38859,5.297,4.575,99.952,2,0,733665,849304,45803,67312,2524,1217350,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Pais para Todos,C. Alvarez,46738,6.37,5.503,99.952,2,0,733665,849304,45803,67312,2524,1217350,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Junin,141100,000012,Otros,Varias candidaturas,151366,20.631,17.822,99.952,2,0,733665,849304,45803,67312,2524,1217350,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Fuerza Popular,K. Fujimori,120214,20.547,16.859,99.776,8,0,585073,713042,59573,66214,2182,1055768,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Juntos por el Peru,R. Sanchez,64622,11.045,9.063,99.776,8,0,585073,713042,59573,66214,2182,1055768,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Renovacion Popular,R. Lopez Aliaga,84820,14.497,11.896,99.776,8,0,585073,713042,59573,66214,2182,1055768,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Partido del Buen Gobierno,J. Nieto,44859,7.667,6.291,99.776,8,0,585073,713042,59573,66214,2182,1055768,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Partido Civico Obras,R. Belmont,48849,8.349,6.851,99.776,8,0,585073,713042,59573,66214,2182,1055768,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Ahora Nacion,P. Lopez Chau,53358,9.12,7.483,99.776,8,0,585073,713042,59573,66214,2182,1055768,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Pais para Todos,C. Alvarez,24455,4.18,3.43,99.776,8,0,585073,713042,59573,66214,2182,1055768,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
La Libertad,141200,000013,Otros,Varias candidaturas,143896,24.595,20.181,99.776,8,0,585073,713042,59573,66214,2182,1055768,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Fuerza Popular,K. Fujimori,142086,20.052,17.097,100.0,0,0,708593,831077,47134,72615,2735,1158702,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Juntos por el Peru,R. Sanchez,81420,11.49,9.797,100.0,0,0,708593,831077,47134,72615,2735,1158702,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Renovacion Popular,R. Lopez Aliaga,87425,12.338,10.519,100.0,0,0,708593,831077,47134,72615,2735,1158702,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Partido del Buen Gobierno,J. Nieto,94955,13.4,11.426,100.0,0,0,708593,831077,47134,72615,2735,1158702,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Partido Civico Obras,R. Belmont,65957,9.308,7.936,100.0,0,0,708593,831077,47134,72615,2735,1158702,5,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Ahora Nacion,P. Lopez Chau,36324,5.126,4.371,100.0,0,0,708593,831077,47134,72615,2735,1158702,6,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Pais para Todos,C. Alvarez,63000,8.891,7.581,100.0,0,0,708593,831077,47134,72615,2735,1158702,7,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lambayeque,141300,000014,Otros,Varias candidaturas,137426,19.394,16.536,100.0,0,0,708593,831077,47134,72615,2735,1158702,8,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lima,141400,000015,Fuerza Popular,K. Fujimori,892270,18.904,15.255,99.805,54,0,4720028,5849116,384799,721965,22324,8153085,1,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lima,141400,000015,Juntos por el Peru,R. Sanchez,517045,10.954,8.84,99.805,54,0,4720028,5849116,384799,721965,22324,8153085,2,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lima,141400,000015,Renovacion Popular,R. Lopez Aliaga,855767,18.131,14.631,99.805,54,0,4720028,5849116,384799,721965,22324,8153085,3,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
Lima,141400,000015,Partido del Buen Gobierno,J. Nieto,587752,12.452,10.049,99.805,54,0,4720028,5849116,384799,721965,22324,8153085,4,16197147,19747057,27325431,Sintetico inspirado en estructura publica de resultados ONPE; no usar como resultado oficial.
